"State or other
geographic area",Beer,Wine,Spirits,All beverages,"U.S. decile for all beverages
"
Hawaii.1993,1.49 ,0.37 ,0.65 ,2.51 ,3 
Hawaii.1992,1.55 ,0.39 ,0.69 ,2.63 ,2 
Hawaii.1991,1.57 ,0.40 ,0.70 ,2.67 ,2 
Hawaii.1990,1.64 ,0.40 ,0.79 ,2.84 ,2 
Hawaii.1989,1.54 ,0.43 ,0.79 ,2.76 ,3 
Hawaii.1988,1.62 ,0.45 ,0.79 ,2.86 ,3 
Hawaii.1987,1.57 ,0.40 ,0.76 ,2.73 ,4 
Hawaii.1986,1.60 ,0.44 ,0.85 ,2.88 ,3 
Hawaii.1985,1.59 ,0.41 ,0.88 ,2.88 ,3 
Hawaii.1984,1.65 ,0.41 ,0.91 ,2.97 ,3 
Hawaii.1983,1.87 ,0.44 ,1.12 ,3.43 ,1 
